Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Maximum Operating Temperature,Thermal Conductivity,Product,Type,Package / Case,Material,Breakdown Voltage,Color,Minimum Operating Temperature,Length,Width,Thickness,Tensile Strength,Flammability Rating,Series,Packaging
951-TGP3000ULM082816,TGP3000ULM-0.080-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3000ULM-en_GL.pdf,18  In Stock,$151.85,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/TGP3000ULM-0.080-02-0816?qs=fJ6SLga%2FIXBgKK7FaAZgRQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGP3000ULM-0.080-02-0816&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,6 kVAC,Blue,- 60 C,406.4 mm,203.2 mm,1.016 mm,25 psi,UL 94 V-0,3000ULM / TGP 3000ULM,
739-A17752-09,A17752-09,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,3  In Stock,$257.29,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17752-09?qs=1mbolxNpo8e0jfXXQXfz%2Fg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17752-09&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Gray,- 50 C,228.6 mm,228.6 mm,2.28 mm,10 psi,UL 94 V-0,HD90000,Bulk
951-GPHC3.0-100-816,GPHC3.0-0.100-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-HC3000-en_GL.pdf,74  In Stock,$288.76,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GPHC3.0-0.100-02-0816?qs=qSfuJ%252Bfl%2Fd6xKIVhOkKOIQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GPHC3.0-0.100-02-0816&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Blue,- 60 C,406.4 mm,203.2 mm,2.54 mm,16 psi,UL 94 V-0,HC 3.0 / TGP HC3000,
739-A14558-02,A14558-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,9  In Stock,$166.77,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14558-02?qs=3IuyYncJTQHZY6kNjVilbQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14558-02&utm_content=Laird-Performance-Materials,+ 200 C,2.8 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,9.2 kVAC,Blue,- 45 C,457 mm,457 mm,1.016 mm,66 psi,UL 94 V-0,Tflex 500,Bulk
567-PL-1-5-1016-H,PL-1-5-1016-H,Wakefield-Vette,https://www.mouser.com/datasheet/2/433/ulTIMiFlux_Thermal_Gap_Pads-2933408.pdf,"1,144  In Stock",$20.51,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wakefield-Vette/PL-1-5-1016-H?qs=YOlfkO5Tc8iovrpqxXQK%2Fg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PL-1-5-1016-H&utm_content=Wakefield-Vette,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Gold,- 60 C,101.6 mm,101.6 mm,0.991 mm,,UL 94 V-0,PL,
951-GP3500U010012816,GP3500ULM-G-0.100-12-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3500ULM-en_GL.pdf,14  In Stock,$234.39,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP3500ULM-G-0.100-12-0816?qs=qSfuJ%252Bfl%2Fd7aga2DDAew0g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP3500ULM-G-0.100-12-0816&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Gray,- 60 C,406.4 mm,203.2 mm,2.54 mm,4 psi,UL 94 V-0,3500ULM / TGP 3500ULM,
951-SPA2000-015-0054,SPA2000-0.015-00-54,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-A3000-en_GL.pdf,"15,250  In Stock",$1.48,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/SPA2000-0.015-00-54?qs=jQRjkUoUCJe1VHfelaHTAQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SPA2000-0.015-00-54&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Insulator,Thermal Pad,,Silicone Elastomer,4 kVAC,White,- 60 C,19.05 mm,12.7 mm,0.381 mm,50 psi,UL 94 V-0,A2000 / TSP A3000,
951-A2000-020-001012,SPA2000-0.020-00-1012,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-A3000-en_GL.pdf,13  In Stock,$315.77,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/SPA2000-0.020-00-1012?qs=MLItCLRbWswG3xSjXMwBvA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SPA2000-0.020-00-1012&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Insulator,Thermal Pad,,Silicone Elastomer,4 kVAC,White,- 60 C,,,0.508 mm,50 psi,UL 94 V-0,A2000 / TSP A3000,
951-TGP6ULM.06012816,TGP6000ULM-0.060-12-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-6000ULM-en_GL.pdf,41  In Stock,$229.30,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/TGP6000ULM-0.060-12-0816?qs=wnTfsH77Xs5r0%252B0674gGGg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGP6000ULM-0.060-12-0816&utm_content=Bergquist-Company,+ 200 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Fiberglass,5 kVAC,Gray,- 60 C,406.4 mm,203.2 mm,1.524 mm,6 psi,UL 94 V-0,TGP 6000ULM,
951-GPA3000002001816,GPA3000-0.020-01-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-A2600-en_GL.pdf,51  In Stock,$131.54,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GPA3000-0.020-01-0816?qs=qSfuJ%252Bfl%2Fd7yWevlP8mK6g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GPA3000-0.020-01-0816&utm_content=Bergquist-Company,+ 200 C,2.6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Gold,- 60 C,406.4 mm,203.2 mm,0.508 mm,50 psi,UL 94 V-0,A3000 / TGP A2600,
951-GPHC3.0-60-02,GPHC3.0-0.060-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-HC3000-en_GL.pdf,145  In Stock,$122.87,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GPHC3.0-0.060-02-0816?qs=qSfuJ%252Bfl%2Fd43TmCKi0Z1%252Bw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GPHC3.0-0.060-02-0816&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Blue,- 60 C,406.4 mm,203.2 mm,1.52 mm,16 psi,UL 94 V-0,HC 3.0 / TGP HC3000,
951-LBSA35050024050,LBSA3505-00-240-50CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA3500-en_GL.pdf,42  In Stock,$126.70,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA3505-00-240-50CC?qs=gZXFycFWdAMt2%2Fug7mvc6A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA3505-00-240-50CC&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Thermally Conductive Liquid Adhesive,Thermal Conductive Gel Paste,,Silicone Elastomer,,"Brown, Gray",- 60 C,,,,450 psi,UL 94 V-0,SA 3505 / TLB SA3500,
951-SPA1500-0100AC,SPA1500-0.010-AC-1212,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_A2000_en_GL-3389166.pdf,75  In Stock,$76.85,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/SPA1500-0.010-AC-1212?qs=SE5nP5gvQKWPvTQZvR%252BHwg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SPA1500-0.010-AC-1212&utm_content=Bergquist-Company,+ 180 C,2 W/m-K,Thermally Conductive Insulator,Thermal Pad,,Silicone Elastomer,6 kVAC,Green,- 60 C,,,0.254 mm,50 psi,UL 94 V-0,A1500 / TSP A2000,
951-SPA2000-015-1012,SPA2000-0.015-00-1012,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-A3000-en_GL.pdf,59  In Stock,$256.56,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/SPA2000-0.015-00-1012?qs=EHaw7NSMEkJUiOivaaT4Gg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SPA2000-0.015-00-1012&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Insulator,Thermal Pad,,Silicone Elastomer,4 kVAC,White,- 60 C,304.8 mm,254 mm,0.381 mm,50 psi,UL 94 V-0,A2000 / TSP A3000,
567-127-20-10,127-20-10,Wakefield-Vette,https://www.mouser.com/datasheet/2/433/127_20_WakefieldThermal-3377438.pdf,38  In Stock,$94.12,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Wakefield-Vette/127-20-10?qs=HoCaDK9Nz5dB1MkPya0F%2Fg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=127-20-10&utm_content=Wakefield-Vette,+ 200 C,20 W/m-K,Thermal Grease,Non-Silicone Compound,,,200 V,Gray,- 55 C,,,,,,127,
739-A17916-12,A17916-12,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,13  In Stock,$21.42,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-12?qs=7MVldsJ5UazNGB%2FBrdW%252Blg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-12&utm_content=Laird-Performance-Materials,+ 150 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Gray,- 40 C,228.6 mm,228.6 mm,3.05 mm,10 psi,UL 94 V-0,Tflex B200,Bulk
739-A17916-13,A17916-13,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,14  In Stock,$22.67,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-13?qs=7MVldsJ5UazCqqmHvt8vwQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-13&utm_content=Laird-Performance-Materials,+ 150 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Gray,- 40 C,228.6 mm,228.6 mm,3.30 mm,10 psi,UL 94 V-0,Tflex B200,Bulk
739-A10463-02,A10463-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_TGON_800_1109-1634259.pdf,326  In Stock,$19.52,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10463-02?qs=IaKneoEBqbVujJr3t1DiEQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10463-02&utm_content=Laird-Performance-Materials,+ 300 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Graphite,,Pewter,- 240 C,457.2 mm,304.8 mm,0.25 mm,650 psi,UL 94 V-0,Tgon 800,Bulk
739-A10462-20,A10462-20,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_TGON_800_1109-1634259.pdf,123  In Stock,$33.62,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10462-20?qs=IaKneoEBqbXaIgL05FX%252Byw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10462-20&utm_content=Laird-Performance-Materials,+ 300 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Graphite,,Pewter,- 240 C,609.6 mm,457 mm,0.13 mm,650 psi,UL 94 V-0,Tgon 805,Bulk
739-A16104-10,A16104-10,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_Tflex_HR600_1109-1634251.pdf,41  In Stock,$81.14,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16104-10?qs=3IuyYncJTQGeHKh4F85URA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16104-10&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,,Gray,- 45 C,228.6 mm,228.6 mm,2.54 mm,,UL 94 V-0,Tflex HR600,Bulk
739-A14567-01,A14567-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,15  In Stock,$124.80,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14567-01?qs=3IuyYncJTQEJou%2FlaraFVg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14567-01&utm_content=Laird-Performance-Materials,+ 200 C,2.8 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,10 kVAC,Blue,- 45 C,229 mm,229 mm,3.302 mm,29 psi,UL 94 V-0,Tflex 500,Bulk
739-A16104-04,A16104-04,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_Tflex_HR600_1109-1634251.pdf,116  In Stock,$30.88,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16104-04?qs=3IuyYncJTQFaRpm0vKJBEQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16104-04&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,,Gray,- 45 C,228.6 mm,228.6 mm,1.02 mm,,UL 94 V-0,Tflex HR600,Bulk
739-A10462-02,A10462-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_TGON_800_1109-1634259.pdf,143  In Stock,$17.62,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10462-02?qs=IaKneoEBqbVmDoKTUzHRcA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10462-02&utm_content=Laird-Performance-Materials,+ 300 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Graphite,,Pewter,- 240 C,305 mm,457 mm,0.13 mm,650 psi,UL 94 V-0,Tgon 805,Bulk
667-EYG-R1113ZLMB,EYG-R1113ZLMB,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,11  In Stock,$28.24,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1113ZLMB?qs=81r%252BiQLm7BQ%252B1nkfki2lNA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1113ZLMB&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,132 mm,106 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
710-40004040,40004040,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40004040.pdf,4  In Stock,$143.84,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40004040?qs=e8oIoAS2J1RlouqZN%252BuQkA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40004040&utm_content=Wurth-Elektronik,+ 180 C,4 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Purple,- 50 C,400 mm,200 mm,4 mm,,,WE-TGF,Bulk
667-EYG-R0925ZRWA,EYG-R0925ZRWA,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,8  In Stock,$67.48,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0925ZRWA?qs=81r%252BiQLm7BQlVAQTmlpUVA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0925ZRWA&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,246 mm,85 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R1315ZRGA,EYG-R1315ZRGA,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,6  In Stock,$69.60,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1315ZRGA?qs=81r%252BiQLm7BRI7UmboynaUw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1315ZRGA&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,150 mm,129.5 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
710-407150015050,407150015050,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/407150015050.pdf,220  In Stock,$2.43,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/407150015050?qs=e8oIoAS2J1Tu5X3RE6OCdg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=407150015050&utm_content=Wurth-Elektronik,+ 120 C,400 W/m-K,Thermal Conductive Graphite Sheet,Thermal Pad,,Graphite,,Black,- 40 C,15 mm,15 mm,5 mm,,UL 94 V-0,WE-TGFG,Bulk
710-40102010,40102010,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40102010.pdf,8  In Stock,$45.33,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40102010?qs=e8oIoAS2J1TsPtI%252B%252B4jTrg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40102010&utm_content=Wurth-Elektronik,+ 180 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Blue,- 50 C,400 mm,200 mm,1 mm,,,WE-TGF,Bulk
710-40103010,40103010,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40103010.pdf,5  In Stock,$65.47,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40103010?qs=e8oIoAS2J1S863e5Xcwiqw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40103010&utm_content=Wurth-Elektronik,+ 180 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Blue,- 50 C,400 mm,200 mm,1 mm,,,WE-TGF,Bulk
710-40006020,40006020,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40006020.pdf,3  In Stock,$158.49,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40006020?qs=e8oIoAS2J1QsXS5S1AaHyw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40006020&utm_content=Wurth-Elektronik,+ 180 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Gray,- 50 C,400 mm,200 mm,2 mm,,,WE-TGF,Bulk
710-40013050,40013050,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40013050.pdf,23  In Stock,$23.05,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40013050?qs=e8oIoAS2J1SkDAzEXNMbDw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40013050&utm_content=Wurth-Elektronik,+ 180 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Blue,- 50 C,100 mm,100 mm,5 mm,,,WE-TGF,Bulk
