Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,Length,Width,Thickness,Thermal Conductivity,Minimum Operating Temperature,Maximum Operating Temperature,,Product,Type,Material,Color,Tensile Strength,Flammability Rating,Packaging,Product Detail
739-A10095-02,A10095-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tpli_200_DS_07_19_18-1634153.pdf,,1.457242175,203 mm,203 mm,0.03 in,6 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Boron Nitride,Gray,35 psi,UL 94 HB,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10095-02?qs=3IuyYncJTQFPYMOiIMGBow%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10095-02&utm_content=Laird-Performance-Materials
861-TGF6007870787039,TGF60-07870787-039,LeaderTech,https://www.mouser.com/datasheet/2/156/Thermal-Gap-Filler-Product-Profile-1152219.pdf,5  In Stock,1.45773902,200 mm,200 mm,1 mm,6 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Aluminum Oxide Filled Silicone,Gray,0.15 MPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/LeaderTech/TGF60-07870787-039?qs=1JqqoYsYnNeH1dORVwXlyA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGF60-07870787-039&utm_content=LeaderTech
667-EYG-R1116ZRSC,EYG-R1116ZRSC,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.458318264,158 mm,112 mm,0.35 mm,200 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1116ZRSC?qs=81r%252BiQLm7BTGLwo7J9j1TA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1116ZRSC&utm_content=Panasonic
667-EYG-R1116ZRSC,EYG-R1116ZRSC,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.458318264,158 mm,112 mm,0.35 mm,200 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1116ZRSC?qs=81r%252BiQLm7BTGLwo7J9j1TA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1116ZRSC&utm_content=Panasonic
667-EYG-R0715ZRSD,EYG-R0715ZRSD,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.458863408,153 mm,67 mm,0.35 mm,200 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0715ZRSD?qs=81r%252BiQLm7BQrfEwFh7YA3A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0715ZRSD&utm_content=Panasonic
667-EYG-R0909ZRX2,EYG-R0909ZRX2,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,557  In Stock,1.468734617,90 mm,90 mm,0.35 mm,200 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0909ZRX2?qs=81r%252BiQLm7BQ5%2FNlNUpnNTQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0909ZRX2&utm_content=Panasonic
739-A15896-04,A15896-04,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A15955-00_THR-DS-Tflex_700_061716-1634254.pdf,9  In Stock,1.471358025,228.6 mm,228.6 mm,1.02 mm,5 W/m-K,- 40 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Gray,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A15896-04?qs=3IuyYncJTQE5UMxOeBnJGw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A15896-04&utm_content=Laird-Performance-Materials
951-GF3500LV00240200,GF3500LV-00-240-200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-3500LVO-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,1.47345679,,,,3.5 W/m-K,- 60 C,+ 200 C,,Liquid Gap Filler,,Silicone Elastomer,"Blue, White",,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF3500LV-00-240-200CC?qs=byeeYqUIh0OaExkLdk%2F%2Fog%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF3500LV-00-240-200CC&utm_content=Bergquist-Company
667-EYG-S0909ZLX2,EYG-S0909ZLX2,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,,1.47351358,90 mm,90 mm,0.2 mm,28 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,Pyrolytic Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-S0909ZLX2?qs=UwjGKF2Bi25glWMjRNEqKw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S0909ZLX2&utm_content=Panasonic
739-A17883-06,A17883-06,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Laird_Performance_Materials_-_A18003-00_-_Tflex_HD-1635193.pdf,11  In Stock,1.480493827,228.6 mm,228.6 mm,0.06 in,6 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Teal,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17883-06?qs=l4Gc20tDgJLq5O9DS%252BOsMQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17883-06&utm_content=Laird-Performance-Materials
739-A16104-15,A16104-15,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_Tflex_HR600_1109-1634251.pdf,6  In Stock,1.481975309,228.6 mm,228.6 mm,3.81 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Gray,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16104-15?qs=3IuyYncJTQEoCuI3L6CfyQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16104-15&utm_content=Laird-Performance-Materials
739-A12622-01,A12622-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,78  In Stock,1.483569047,229 mm,229 mm,2.03 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,Boron Nitride,Blue-Violet,15 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12622-01?qs=3IuyYncJTQH8fSeIa5A6IA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12622-01&utm_content=Laird-Performance-Materials
667-EYG-R0608ZLMK,EYG-R0608ZLMK,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.484319161,78 mm,55 mm,0.25 mm,250 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0608ZLMK?qs=81r%252BiQLm7BQM0e0rK0M06A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0608ZLMK&utm_content=Panasonic
667-EYG-R0608ZLMK,EYG-R0608ZLMK,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.484319161,78 mm,55 mm,0.25 mm,250 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0608ZLMK?qs=81r%252BiQLm7BQM0e0rK0M06A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0608ZLMK&utm_content=Panasonic
710-40013050,40013050,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40013050.pdf,23  In Stock,1.4870938,100 mm,100 mm,5 mm,3 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40013050?qs=e8oIoAS2J1SkDAzEXNMbDw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40013050&utm_content=Wurth-Elektronik
710-40013050,40013050,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40013050.pdf,23  In Stock,1.4870938,100 mm,100 mm,5 mm,3 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40013050?qs=e8oIoAS2J1SkDAzEXNMbDw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40013050&utm_content=Wurth-Elektronik
667-EYG-R1116ZRMA,EYG-R1116ZRMA,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.501209978,158 mm,108.8 mm,0.35 mm,200 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1116ZRMA?qs=81r%252BiQLm7BTbDfsa%2F6KSrw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1116ZRMA&utm_content=Panasonic
739-A14416-01,A14416-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,67  In Stock,1.504852524,229 mm,229 mm,2.03 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Boron Nitride,Blue-Violet,15 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14416-01?qs=3IuyYncJTQFHuTv9sYzfBA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14416-01&utm_content=Laird-Performance-Materials
951-GP2202S004501918,GP2202SF-0.045-01-0918,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2202SF-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,1.50654321,457.2 mm,228.6 mm,1.143 mm,2 W/m-K,- 40 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone-Free Metal Oxide,Gray,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2202SF-0.045-01-0918?qs=qSfuJ%252Bfl%2Fd6FJyAV0iK1Ww%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2202SF-0.045-01-0918&utm_content=Bergquist-Company
951-GP3500ULM-100-02,GP3500ULM-0.100-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3500ULM-en_GL.pdf,40  In Stock,1.508046875,406.4 mm,203.2 mm,2.54 mm,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Gray,4 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP3500ULM-0.100-02-0816?qs=Hnotwf9MD1ewB6o3NQ5pBA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP3500ULM-0.100-02-0816&utm_content=Bergquist-Company
951-SP2000-10-1212,SP2000-0.010-00-1212,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,49  In Stock,1.526458333,304.8 mm,304.8 mm,0.254 mm,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,Thermal Pad,Silicone Elastomer,White,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/SP2000-0.010-00-1212?qs=H5SSzuuQK9PEN45JXnUmUA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SP2000-0.010-00-1212&utm_content=Bergquist-Company
951-Q3-0.005-00-51,Q3-0.005-00-51,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-Q2000-en_GL.pdf,"3,709  In Stock",1.52862177,17.45 mm,14.27 mm,0.127 mm,2 W/m-K,- 60 C,+ 180 C,,Thermally Conductive Insulator,Q-Pad Grease Replacement Thermal Interface,Silicone Elastomer,Black,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/Q3-0.005-00-51?qs=jQRjkUoUCJe4%2FHgV%252BOZQ4A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=Q3-0.005-00-51&utm_content=Bergquist-Company
951-GF4500CVO240400C,GF4500CVO-00-240-400CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-4500CVO-en_GL.pdf,Non-Stocked Lead-Time 6 Weeks,1.530078125,,,,4.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,Silicone Elastomer,"Pink, White",,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF4500CVO-00-240-400CC?qs=A6eO%252BMLsxmT8tD0qi7q7Qg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF4500CVO-00-240-400CC&utm_content=Bergquist-Company
951-GF4500CVO240400C,GF4500CVO-00-240-400CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-4500CVO-en_GL.pdf,Non-Stocked Lead-Time 6 Weeks,1.530078125,,,,4.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,Silicone Elastomer,"Pink, White",,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF4500CVO-00-240-400CC?qs=A6eO%252BMLsxmT8tD0qi7q7Qg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF4500CVO-00-240-400CC&utm_content=Bergquist-Company
739-A14567-01,A14567-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,15  In Stock,1.535362941,229 mm,229 mm,3.302 mm,2.8 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Blue,29 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14567-01?qs=3IuyYncJTQEJou%2FlaraFVg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14567-01&utm_content=Laird-Performance-Materials
667-EYG-R0508ZLMJ,EYG-R0508ZLMJ,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.539460178,83 mm,46.2 mm,0.25 mm,250 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0508ZLMJ?qs=81r%252BiQLm7BTbSspRAoD30w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0508ZLMJ&utm_content=Panasonic
739-A12630-01,A12630-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_TFlex_600_07_2_14-1590672.pdf,7  In Stock,1.560960505,,,0.406 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,,Blue-Violet,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12630-01?qs=3IuyYncJTQHTEvMTR8FGQg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12630-01&utm_content=Laird-Performance-Materials
739-A17747-10,A17747-10,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17801-00-Tflex_P300_DS-110317-1591180.pdf,Non-Stocked,1.570123457,9 in,9 in,,3 W/m-K,- 40 C,+ 125 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Purple,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17747-10?qs=lYGu3FyN48c0ApZ2v%252B9EZw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17747-10&utm_content=Laird-Performance-Materials
532-4180,4180G,Aavid,https://4donline.ihs.com/images/VipMasterIC/IC/AAVT/AAVT-S-A0002936906/AAVT-S-A0002936906-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,,1.580000549,23.24 mm,18.8 mm,2.03 mm,79.56 W/m-K,,+ 400 C,,Thermally Conductive Insulator,Insulator,Aluminum Oxide Ceramic,,28000 psi,,Bulk,https://www.mouser.com/ProductDetail/Aavid/4180G?qs=2v7q0MSBcBMwt5GBytMENg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=4180G&utm_content=Aavid
667-EYG-R1315ZLGA,EYG-R1315ZLGA,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.581928999,150 mm,129.5 mm,0.25 mm,250 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1315ZLGA?qs=81r%252BiQLm7BRn1eoumd1eJA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1315ZLGA&utm_content=Panasonic
667-EYG-R1315ZLGA,EYG-R1315ZLGA,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.581928999,150 mm,129.5 mm,0.25 mm,250 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1315ZLGA?qs=81r%252BiQLm7BRn1eoumd1eJA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1315ZLGA&utm_content=Panasonic
468-COH-4000LVCT3.0,COH-4000LVC t3.0,Taica,https://www.mouser.com/datasheet/2/780/pro_tc1709-1669815.pdf,,1.586891987,400 mm,400 mm,3 mm,6.5 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gel Sheet,Thermal Pad,Silicone Gel,Gray,0.35 MPa,,Bulk,https://www.mouser.com/ProductDetail/Taica/COH-4000LVC-t3.0?qs=8zSmKHErLQfJ%2F8ezW5Md%252Bw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=COH-4000LVC%20t3.0&utm_content=Taica
739-A16367-08,A16367-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF600_DS_071718-1634176.pdf,Non-Stocked Lead-Time 12 Weeks,1.587283951,9 in,9 in,0.08 in,3 W/m-K,- 20 C,+ 125 C,,Thermally Conductive Gap Pad,,Boron Nitride,Red (Rose),,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16367-08?qs=6E8igxPflKdf%2Fb9kV1j4wQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16367-08&utm_content=Laird-Performance-Materials
739-A16367-08,A16367-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF600_DS_071718-1634176.pdf,Non-Stocked Lead-Time 12 Weeks,1.587283951,9 in,9 in,0.08 in,3 W/m-K,- 20 C,+ 125 C,,Thermally Conductive Gap Pad,,Boron Nitride,Red (Rose),,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16367-08?qs=6E8igxPflKdf%2Fb9kV1j4wQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16367-08&utm_content=Laird-Performance-Materials
951-GP3000S30-10002,GP3000S30-0.100-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3000-en_GL.pdf,146  In Stock,1.594765625,406.4 mm,203.2 mm,2.54 mm,3 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Blue (Light Blue),26 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP3000S30-0.100-02-0816?qs=jQRjkUoUCJee9%2Fi8Hd8jvg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP3000S30-0.100-02-0816&utm_content=Bergquist-Company
667-EYG-R0611ZRWH,EYG-R0611ZRWH,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.610871195,106 mm,60 mm,0.35 mm,200 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0611ZRWH?qs=81r%252BiQLm7BSbUhImY9MB6A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0611ZRWH&utm_content=Panasonic
667-EYG-R0611ZRWH,EYG-R0611ZRWH,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,1.610871195,106 mm,60 mm,0.35 mm,200 W/m-K,- 55 C,+ 400 C,,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,Graphite,Gray,600 kPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0611ZRWH?qs=81r%252BiQLm7BSbUhImY9MB6A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0611ZRWH&utm_content=Panasonic
567-PL-1-6-76X127-60,PL-1-6-76X127-60,Wakefield-Vette,https://www.mouser.com/datasheet/2/433/Wakefield_Thermal_Gap_Pad_Kit_and_Part_Numbers__00-2909730.pdf,70  In Stock,1.616666667,127 mm,76.2 mm,1 mm,6 W/m-K,- 50 C,+ 200 C,,Thermal Pads,,,Gray,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Wakefield-Vette/PL-1-6-76X127-60?qs=Li%252BoUPsLEnsPR6Owl%252B32kg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PL-1-6-76X127-60&utm_content=Wakefield-Vette
739-A10096-67,A10096-67,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tpli_200_DS_07_19_18-1634153.pdf,Non-Stocked Lead-Time 3 Weeks,1.618653508,406 mm,406 mm,0.04 in,6 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Boron Nitride,Yellow,35 psi,UL 94 HB,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10096-67?qs=3IuyYncJTQEHsqqu0ZeM0w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10096-67&utm_content=Laird-Performance-Materials
739-A12623-01,A12623-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,1  In Stock,1.646455308,229 mm,229 mm,2.29 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,Boron Nitride,Blue-Violet,15 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12623-01?qs=3IuyYncJTQHhWsWzC5HMsw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12623-01&utm_content=Laird-Performance-Materials
739-A17751-04,A17751-04,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked Lead-Time 10 Weeks,1.665925926,457.2 mm,457.2 mm,1.01 mm,7.5 W/m-K,- 50 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17751-04?qs=1mbolxNpo8dkVRHOxJbYYA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17751-04&utm_content=Laird-Performance-Materials
739-A17751-04,A17751-04,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked Lead-Time 10 Weeks,1.665925926,457.2 mm,457.2 mm,1.01 mm,7.5 W/m-K,- 50 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17751-04?qs=1mbolxNpo8dkVRHOxJbYYA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17751-04&utm_content=Laird-Performance-Materials
710-40016020,40016020,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40016020.pdf,,1.67483536,100 mm,100 mm,2 mm,6 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40016020?qs=e8oIoAS2J1QZekm0W2Zx5w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40016020&utm_content=Wurth-Elektronik
739-A14568-01,A14568-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,11  In Stock,1.678565062,229 mm,229 mm,3.556 mm,2.8 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Blue,29 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14568-01?qs=3IuyYncJTQFbQ7Np1cGCMQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14568-01&utm_content=Laird-Performance-Materials
739-A14568-01,A14568-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,11  In Stock,1.678565062,229 mm,229 mm,3.556 mm,2.8 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Blue,29 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14568-01?qs=3IuyYncJTQFbQ7Np1cGCMQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14568-01&utm_content=Laird-Performance-Materials
